source,type,action,target,weight
1629436285386366977,Tweet-Directed,quote,,1
1629436285386366977,Tweet-Directed,retweet,1629415603839676416,1
1629436285386366977,Tweet-Directed,reply,,1
1629023466186854401,Tweet-Directed,quote,,1
1629023466186854401,Tweet-Directed,retweet,1629020647941709824,1
1629023466186854401,Tweet-Directed,reply,,1
1629102423775010818,Tweet-Directed,quote,,1
1629102423775010818,Tweet-Directed,retweet,1629040084346458112,1
1629102423775010818,Tweet-Directed,reply,,1
1627345541511118848,Tweet-Directed,quote,,1
1627345541511118848,Tweet-Directed,retweet,1627245032234262532,1
1627345541511118848,Tweet-Directed,reply,,1
1628171442205466624,Tweet-Directed,quote,,1
1628171442205466624,Tweet-Directed,retweet,1628001163143524354,1
1628171442205466624,Tweet-Directed,reply,,1
1627069212912152577,Tweet-Directed,quote,,1
1627069212912152577,Tweet-Directed,retweet,1626512389666488320,1
1627069212912152577,Tweet-Directed,reply,,1
1628309953621393409,Tweet-Directed,quote,1628304679007313924,1
1628309953621393409,Tweet-Directed,retweet,1628308641605382150,1
1628309953621393409,Tweet-Directed,reply,,1
1628992129358876673,Tweet-Directed,quote,,1
1628992129358876673,Tweet-Directed,retweet,1628739416066859008,1
1628992129358876673,Tweet-Directed,reply,,1
1626825068583043073,Tweet-Directed,quote,,1
1626825068583043073,Tweet-Directed,retweet,1626715394231656449,1
1626825068583043073,Tweet-Directed,reply,,1
1627251479508557825,Tweet-Directed,quote,,1
1627251479508557825,Tweet-Directed,retweet,1627250822332416000,1
1627251479508557825,Tweet-Directed,reply,,1
1628417159985565699,Tweet-Directed,quote,,1
1628417159985565699,Tweet-Directed,retweet,1628372551276666880,1
1628417159985565699,Tweet-Directed,reply,,1
1630659757315850241,Tweet-Directed,quote,,1
1630659757315850241,Tweet-Directed,retweet,1630159453621215232,1
1630659757315850241,Tweet-Directed,reply,,1
1627236005261574146,Tweet-Directed,quote,,1
1627236005261574146,Tweet-Directed,retweet,1627234568251097088,1
1627236005261574146,Tweet-Directed,reply,,1
1628056360494542848,Tweet-Directed,quote,,1
1628056360494542848,Tweet-Directed,retweet,1628045904144900098,1
1628056360494542848,Tweet-Directed,reply,,1
1628771729139982336,Tweet-Directed,quote,,1
1628771729139982336,Tweet-Directed,retweet,1628757420523520001,1
1628771729139982336,Tweet-Directed,reply,,1
1629524097875976193,Tweet-Directed,quote,,1
1629524097875976193,Tweet-Directed,retweet,1629513808744964097,1
1629524097875976193,Tweet-Directed,reply,,1
1627075524152664064,Tweet-Directed,quote,,1
1627075524152664064,Tweet-Directed,retweet,1627075047251902465,1
1627075524152664064,Tweet-Directed,reply,,1
1628652162875023360,Tweet-Directed,quote,,1
1628652162875023360,Tweet-Directed,retweet,,1
1628652162875023360,Tweet-Directed,reply,1628629067015544835,1
1629732245635321858,Tweet-Directed,quote,,1
1629732245635321858,Tweet-Directed,retweet,1629722713295126530,1
1629732245635321858,Tweet-Directed,reply,,1
1628429382938251264,Tweet-Directed,quote,,1
1628429382938251264,Tweet-Directed,retweet,1628350442282315777,1
1628429382938251264,Tweet-Directed,reply,,1
1629463114352676864,Tweet-Directed,quote,,1
1629463114352676864,Tweet-Directed,retweet,1629451979276648449,1
1629463114352676864,Tweet-Directed,reply,,1
1629412679616962561,Tweet-Directed,quote,,1
1629412679616962561,Tweet-Directed,retweet,1629241880255889408,1
1629412679616962561,Tweet-Directed,reply,,1
1629833562538098688,Tweet-Directed,quote,,1
1629833562538098688,Tweet-Directed,retweet,,1
1629833562538098688,Tweet-Directed,reply,1629807711633244161,1
1626818050879115265,Tweet-Directed,quote,,1
1626818050879115265,Tweet-Directed,retweet,1626556467208757252,1
1626818050879115265,Tweet-Directed,reply,,1
1626893465614180353,Tweet-Directed,quote,,1
1626893465614180353,Tweet-Directed,retweet,1626892295587958785,1
1626893465614180353,Tweet-Directed,reply,,1
1629454261175066630,Tweet-Directed,quote,,1
1629454261175066630,Tweet-Directed,retweet,1629136828715474945,1
1629454261175066630,Tweet-Directed,reply,,1
1629365607912075264,Tweet-Directed,quote,,1
1629365607912075264,Tweet-Directed,retweet,1629238491899957248,1
1629365607912075264,Tweet-Directed,reply,,1
1627983059680198657,Tweet-Directed,quote,,1
1627983059680198657,Tweet-Directed,retweet,1627948829218680834,1
1627983059680198657,Tweet-Directed,reply,,1
1630504096955265026,Tweet-Directed,quote,,1
1630504096955265026,Tweet-Directed,retweet,1630502639199715328,1
1630504096955265026,Tweet-Directed,reply,,1
1627401408826732549,Tweet-Directed,quote,,1
1627401408826732549,Tweet-Directed,retweet,1627342498451406849,1
1627401408826732549,Tweet-Directed,reply,,1
1627341386474311686,Tweet-Directed,quote,,1
1627341386474311686,Tweet-Directed,retweet,1627216313922756608,1
1627341386474311686,Tweet-Directed,reply,,1
1628989732116918273,Tweet-Directed,quote,1628416067356835842,1
1628989732116918273,Tweet-Directed,retweet,1628667460537778176,1
1628989732116918273,Tweet-Directed,reply,,1
1628419577083199488,Tweet-Directed,quote,,1
1628419577083199488,Tweet-Directed,retweet,1628416067356835842,1
1628419577083199488,Tweet-Directed,reply,,1
1627756561723453458,Tweet-Directed,quote,,1
1627756561723453458,Tweet-Directed,retweet,1627755082526691360,1
1627756561723453458,Tweet-Directed,reply,,1
1629084671395917826,Tweet-Directed,quote,1628884810130157570,1
1629084671395917826,Tweet-Directed,retweet,,1
1629084671395917826,Tweet-Directed,reply,,1
1629235530259988480,Tweet-Directed,quote,,1
1629235530259988480,Tweet-Directed,retweet,1629118729010159621,1
1629235530259988480,Tweet-Directed,reply,,1
1628038015732838400,Tweet-Directed,quote,1628032176263467010,1
1628038015732838400,Tweet-Directed,retweet,,1
1628038015732838400,Tweet-Directed,reply,,1
1628716302612275201,Tweet-Directed,quote,,1
1628716302612275201,Tweet-Directed,retweet,1628712930127511554,1
1628716302612275201,Tweet-Directed,reply,,1
1628657757363572739,Tweet-Directed,quote,,1
1628657757363572739,Tweet-Directed,retweet,1628651502796414978,1
1628657757363572739,Tweet-Directed,reply,,1
1629126594575884288,Tweet-Directed,quote,,1
1629126594575884288,Tweet-Directed,retweet,1629020066556612608,1
1629126594575884288,Tweet-Directed,reply,,1
1627621421374484481,Tweet-Directed,quote,,1
1627621421374484481,Tweet-Directed,retweet,1627504644350963712,1
1627621421374484481,Tweet-Directed,reply,,1
1629495561052213249,Tweet-Directed,quote,,1
1629495561052213249,Tweet-Directed,retweet,1629355545151897600,1
1629495561052213249,Tweet-Directed,reply,,1
1628687252862664706,Tweet-Directed,quote,,1
1628687252862664706,Tweet-Directed,retweet,1628353709754155013,1
1628687252862664706,Tweet-Directed,reply,,1
1628394882992689155,Tweet-Directed,quote,,1
1628394882992689155,Tweet-Directed,retweet,1628394832396787717,1
1628394882992689155,Tweet-Directed,reply,,1
1628523502331469824,Tweet-Directed,quote,,1
1628523502331469824,Tweet-Directed,retweet,1628505829195276288,1
1628523502331469824,Tweet-Directed,reply,,1
1629479657492946945,Tweet-Directed,quote,,1
1629479657492946945,Tweet-Directed,retweet,1629400132591419392,1
1629479657492946945,Tweet-Directed,reply,,1
1629248949402980352,Tweet-Directed,quote,,1
1629248949402980352,Tweet-Directed,retweet,1629215007903809542,1
1629248949402980352,Tweet-Directed,reply,,1
1629476310685720576,Tweet-Directed,quote,,1
1629476310685720576,Tweet-Directed,retweet,1629471717864112131,1
1629476310685720576,Tweet-Directed,reply,,1
1627667906250014723,Tweet-Directed,quote,,1
1627667906250014723,Tweet-Directed,retweet,1627651449353117696,1
1627667906250014723,Tweet-Directed,reply,,1
1627520545829933056,Tweet-Directed,quote,1046513016433455104,1
1627520545829933056,Tweet-Directed,retweet,,1
1627520545829933056,Tweet-Directed,reply,1627381603444969473,1
1629205849871622145,Tweet-Directed,quote,,1
1629205849871622145,Tweet-Directed,retweet,1628703220573913088,1
1629205849871622145,Tweet-Directed,reply,,1
1626853925767852034,Tweet-Directed,quote,,1
1626853925767852034,Tweet-Directed,retweet,1626658589329833984,1
1626853925767852034,Tweet-Directed,reply,,1
1629516368444891139,Tweet-Directed,quote,,1
1629516368444891139,Tweet-Directed,retweet,1629485974689402882,1
1629516368444891139,Tweet-Directed,reply,,1
1629076012070739968,Tweet-Directed,quote,,1
1629076012070739968,Tweet-Directed,retweet,1629006365858357248,1
1629076012070739968,Tweet-Directed,reply,,1
1628500310053330946,Tweet-Directed,quote,,1
1628500310053330946,Tweet-Directed,retweet,,1
1628500310053330946,Tweet-Directed,reply,,1
1628726359315951618,Tweet-Directed,quote,,1
1628726359315951618,Tweet-Directed,retweet,1628689685928108034,1
1628726359315951618,Tweet-Directed,reply,,1
1628080943226400771,Tweet-Directed,quote,,1
1628080943226400771,Tweet-Directed,retweet,1627951278499237888,1
1628080943226400771,Tweet-Directed,reply,,1
1629474537841500160,Tweet-Directed,quote,,1
1629474537841500160,Tweet-Directed,retweet,1629474002249850880,1
1629474537841500160,Tweet-Directed,reply,,1
1626936546933846016,Tweet-Directed,quote,1626904509107560449,1
1626936546933846016,Tweet-Directed,retweet,,1
1626936546933846016,Tweet-Directed,reply,,1
1628117558325874688,Tweet-Directed,quote,,1
1628117558325874688,Tweet-Directed,retweet,1628033017443672065,1
1628117558325874688,Tweet-Directed,reply,,1
1629575123706470402,Tweet-Directed,quote,1629564622746296320,1
1629575123706470402,Tweet-Directed,retweet,1629574319712944130,1
1629575123706470402,Tweet-Directed,reply,,1
1629750293062721536,Tweet-Directed,quote,,1
1629750293062721536,Tweet-Directed,retweet,1629489918039801857,1
1629750293062721536,Tweet-Directed,reply,,1
1629577750016131075,Tweet-Directed,quote,,1
1629577750016131075,Tweet-Directed,retweet,1629537516025008128,1
1629577750016131075,Tweet-Directed,reply,,1
1627633054855430144,Tweet-Directed,quote,,1
1627633054855430144,Tweet-Directed,retweet,,1
1627633054855430144,Tweet-Directed,reply,,1
1627620129646190593,Tweet-Directed,quote,,1
1627620129646190593,Tweet-Directed,retweet,1627549409675280384,1
1627620129646190593,Tweet-Directed,reply,,1
1627772472559915036,Tweet-Directed,quote,,1
1627772472559915036,Tweet-Directed,retweet,1627752496541143093,1
1627772472559915036,Tweet-Directed,reply,,1
1627065285680451586,Tweet-Directed,quote,,1
1627065285680451586,Tweet-Directed,retweet,1626998862052225026,1
1627065285680451586,Tweet-Directed,reply,,1
1627797497891487747,Tweet-Directed,quote,1627784240711565312,1
1627797497891487747,Tweet-Directed,retweet,,1
1627797497891487747,Tweet-Directed,reply,,1
1629464020498391040,Tweet-Directed,quote,,1
1629464020498391040,Tweet-Directed,retweet,,1
1629464020498391040,Tweet-Directed,reply,,1
1628380299640832001,Tweet-Directed,quote,,1
1628380299640832001,Tweet-Directed,retweet,1628028848154574851,1
1628380299640832001,Tweet-Directed,reply,,1
1629093830103367681,Tweet-Directed,quote,1629026243734564865,1
1629093830103367681,Tweet-Directed,retweet,1629054359362318336,1
1629093830103367681,Tweet-Directed,reply,,1
1627020778741940224,Tweet-Directed,quote,,1
1627020778741940224,Tweet-Directed,retweet,1625875451372609537,1
1627020778741940224,Tweet-Directed,reply,,1
1629553734689730562,Tweet-Directed,quote,,1
1629553734689730562,Tweet-Directed,retweet,1629465775944749057,1
1629553734689730562,Tweet-Directed,reply,,1
1629397360370413568,Tweet-Directed,quote,,1
1629397360370413568,Tweet-Directed,retweet,,1
1629397360370413568,Tweet-Directed,reply,1629392451398975488,1
1628878378794188805,Tweet-Directed,quote,1628739416066859008,1
1628878378794188805,Tweet-Directed,retweet,1628802256916172800,1
1628878378794188805,Tweet-Directed,reply,,1
1629506650523435009,Tweet-Directed,quote,,1
1629506650523435009,Tweet-Directed,retweet,1629461497549127685,1
1629506650523435009,Tweet-Directed,reply,,1
1630184440851726336,Tweet-Directed,quote,,1
1630184440851726336,Tweet-Directed,retweet,1630183599981883392,1
1630184440851726336,Tweet-Directed,reply,,1
1626748303709798400,Tweet-Directed,quote,,1
1626748303709798400,Tweet-Directed,retweet,1626674356808998934,1
1626748303709798400,Tweet-Directed,reply,,1
1630611566663024663,Tweet-Directed,quote,,1
1630611566663024663,Tweet-Directed,retweet,1630172631134621701,1
1630611566663024663,Tweet-Directed,reply,,1
1629398811712815105,Tweet-Directed,quote,,1
1629398811712815105,Tweet-Directed,retweet,1629398133242314753,1
1629398811712815105,Tweet-Directed,reply,,1
1629596455550713863,Tweet-Directed,quote,,1
1629596455550713863,Tweet-Directed,retweet,1629114282334990336,1
1629596455550713863,Tweet-Directed,reply,,1
1627134735548817408,Tweet-Directed,quote,,1
1627134735548817408,Tweet-Directed,retweet,,1
1627134735548817408,Tweet-Directed,reply,1626838665556115456,1
1630599212361555971,Tweet-Directed,quote,,1
1630599212361555971,Tweet-Directed,retweet,1630592834657976322,1
1630599212361555971,Tweet-Directed,reply,,1
1629224868968382468,Tweet-Directed,quote,1628864422822260737,1
1629224868968382468,Tweet-Directed,retweet,,1
1629224868968382468,Tweet-Directed,reply,,1
1628596961908588544,Tweet-Directed,quote,,1
1628596961908588544,Tweet-Directed,retweet,1628404256209338368,1
1628596961908588544,Tweet-Directed,reply,,1
1627006655136161793,Tweet-Directed,quote,,1
1627006655136161793,Tweet-Directed,retweet,1626941831119249409,1
1627006655136161793,Tweet-Directed,reply,,1
1627589889285054464,Tweet-Directed,quote,,1
1627589889285054464,Tweet-Directed,retweet,1627588032126717952,1
1627589889285054464,Tweet-Directed,reply,,1
1628835827127132161,Tweet-Directed,quote,,1
1628835827127132161,Tweet-Directed,retweet,,1
1628835827127132161,Tweet-Directed,reply,,1
1628304979873103875,Tweet-Directed,quote,,1
1628304979873103875,Tweet-Directed,retweet,1628300156448739328,1
1628304979873103875,Tweet-Directed,reply,,1
1628522082874130434,Tweet-Directed,quote,,1
